Date,Time,Lat,Lon,Wind,Pressure
10-Sep,01:00 GMT,23.4,-80.9,125,932
10-Sep,02:00 GMT,23.5,-81,120,933
10-Sep,03:00 GMT,23.5,-81,120,933
10-Sep,04:00 GMT,23.6,-81.1,120,932
10-Sep,05:00 GMT,23.7,-81.2,120,931
10-Sep,06:00 GMT,23.7,-81.3,130,931
10-Sep,07:00 GMT,23.9,-81.3,130,930
10-Sep,08:00 GMT,23.9,-81.4,130,928
10-Sep,09:00 GMT,24.1,-81.5,130,928
10-Sep,10:00 GMT,24.2,-81.4,130,929
10-Sep,11:00 GMT,24.4,-81.5,130,929
10-Sep,12:00 GMT,24.5,-81.5,130,929
10-Sep,13:00 GMT,24.6,-81.5,130,929
10-Sep,13:10 GMT,24.7,-81.5,130,929
10-Sep,14:00 GMT,24.8,-81.5,130,929
10-Sep,15:00 GMT,25,-81.5,130,933
10-Sep,15:10 GMT,25,-81.5,130,933
10-Sep,16:00 GMT,25.2,-81.6,130,933
10-Sep,17:00 GMT,25.4,-81.7,130,933
10-Sep,18:00 GMT,25.6,-81.8,120,936
10-Sep,19:00 GMT,25.7,-81.8,120,936
10-Sep,19:35 GMT,25.9,-81.7,115,940
10-Sep,20:00 GMT,26,-81.7,115,940
10-Sep,21:00 GMT,26.2,-81.8,110,938
10-Sep,22:00 GMT,26.3,-81.7,110,938
10-Sep,23:00 GMT,26.6,-81.7,110,940
11-Sep,00:00 GMT,26.7,-81.7,105,942
11-Sep,01:00 GMT,27.1,-81.8,105,942
11-Sep,02:00 GMT,27.3,-81.9,105,948
11-Sep,03:00 GMT,27.5,-81.9,100,952
11-Sep,04:00 GMT,27.7,-81.9,100,952
11-Sep,05:00 GMT,27.9,-82.1,100,952
11-Sep,06:00 GMT,28.2,-82.2,85,960
11-Sep,09:00 GMT,28.9,-82.6,75,965
11-Sep,12:00 GMT,29.5,-82.9,70,970
11-Sep,15:00 GMT,30.3,-83.1,65,975
11-Sep,18:00 GMT,30.8,-83.6,60,980
11-Sep,21:00 GMT,31.5,-84,50,985
12-Sep,00:00 GMT,31.9,-84.4,45,986
12-Sep,03:00 GMT,32.4,-84.9,35,988
12-Sep,09:00 GMT,33,-85.2,25,998
12-Sep,15:00 GMT,34.2,-87,10,1003
12-Sep,21:00 GMT,35.1,-88.2,10,1004
